role_id,job_title,department,job_level,base_salary_range
1,Junior IT Support,IT,Junior,8000-15000
2,Jr. Data Analyst,IT,Junior,8000-15000
3,Systems Analyst,IT,Mid,15000-25000
4,Software Engineer,IT,Mid,15000-25000
5,Senior Data Engineer,IT,Senior,25000-60000
6,Senior Software Engineer,IT,Senior,25000-60000
7,Infrastructure Specialist,IT,Senior,25000-60000
8,IT Team Lead,IT,Lead,60000-100000
9,Engineering Manager,IT,Lead,60000-100000
10,Director of IT,IT,Director,100000-250000
11,Head of Engineering,IT,Director,100000-250000
12,Sales Coordinator,Sales,Junior,8000-15000
13,Jr. Sales Rep,Sales,Junior,8000-15000
14,Account Executive,Sales,Mid,15000-25000
15,Sales Specialist,Sales,Mid,15000-25000
16,Senior Account Manager,Sales,Senior,25000-60000
17,Business Development Lead,Sales,Senior,25000-60000
18,Sr. Sales Consultant,Sales,Senior,25000-60000
19,Sales Team Lead,Sales,Lead,60000-100000
20,Regional Sales Manager,Sales,Lead,60000-100000
21,Director of Sales,Sales,Director,100000-250000
22,Head of Revenue,Sales,Director,100000-250000
23,HR Coordinator,HR,Junior,8000-15000
24,Jr. Recruiter,HR,Junior,8000-15000
25,HR Specialist,HR,Mid,15000-25000
26,Talent Acquisition Specialist,HR,Mid,15000-25000
27,Senior HRBP,HR,Senior,25000-60000
28,Senior Recruiter,HR,Senior,25000-60000
29,Sr. HR Consultant,HR,Senior,25000-60000
30,HR Team Lead,HR,Lead,60000-100000
31,People Operations Manager,HR,Lead,60000-100000
32,HR Director,HR,Director,100000-250000
33,Head of People,HR,Director,100000-250000
34,Accounts Assistant,Finance,Junior,8000-15000
35,Jr. Financial Analyst,Finance,Junior,8000-15000
36,Financial Analyst,Finance,Mid,15000-25000
37,Accountant,Finance,Mid,15000-25000
38,Senior Accountant,Finance,Senior,25000-60000
39,Finance Business Partner,Finance,Senior,25000-60000
40,Sr. Financial Analyst,Finance,Senior,25000-60000
41,Finance Team Lead,Finance,Lead,60000-100000
42,Finance Manager,Finance,Lead,60000-100000
43,Finance Director,Finance,Director,100000-250000
44,Head of Finance,Finance,Director,100000-250000
45,Marketing Coordinator,Marketing,Junior,8000-15000
46,Jr. Content Specialist,Marketing,Junior,8000-15000
47,Marketing Specialist,Marketing,Mid,15000-25000
48,Growth Associate,Marketing,Mid,15000-25000
49,Senior Brand Manager,Marketing,Senior,25000-60000
50,Senior Growth Analyst,Marketing,Senior,25000-60000
51,Sr. Marketing Consultant,Marketing,Senior,25000-60000
52,Marketing Team Lead,Marketing,Lead,60000-100000
53,Marketing Manager,Marketing,Lead,60000-100000
54,Marketing Director,Marketing,Director,100000-250000
55,Head of Marketing,Marketing,Director,100000-250000
56,Operations Coordinator,Operations,Junior,8000-15000
57,Jr. Operations Analyst,Operations,Junior,8000-15000
58,Operations Specialist,Operations,Mid,15000-25000
59,Process Analyst,Operations,Mid,15000-25000
60,Senior Operations Analyst,Operations,Senior,25000-60000
61,Process Improvement Specialist,Operations,Senior,25000-60000
62,Sr. Operations Consultant,Operations,Senior,25000-60000
63,Operations Lead,Operations,Lead,60000-100000
64,Operations Manager,Operations,Lead,60000-100000
65,Director of Operations,Operations,Director,100000-250000
66,Head of Operations,Operations,Director,100000-250000
67,Legal Assistant,Legal,Junior,8000-15000
68,Jr. Legal Analyst,Legal,Junior,8000-15000
69,Legal Specialist,Legal,Mid,15000-25000
70,Compliance Associate,Legal,Mid,15000-25000
71,Senior Legal Counsel,Legal,Senior,25000-60000
72,Senior Compliance Officer,Legal,Senior,25000-60000
73,Sr. Legal Consultant,Legal,Senior,25000-60000
74,Legal Team Lead,Legal,Lead,60000-100000
75,Compliance Manager,Legal,Lead,60000-100000
76,Legal Director,Legal,Director,100000-250000
77,General Counsel,Legal,Director,100000-250000
