compensation_id,employee_id,effective_date,monthly_salary_egp,annual_bonus_egp,stock_options
1,1,2022-10-28,9794.75,5368.97,0
2,1,2023-10-08,9890.3,1336.69,0
3,1,2024-04-19,11847.32,5345.91,0
4,1,2025-07-07,12554.45,4275.9,0
5,2,2020-04-09,83488.62,0.0,179
6,2,2021-03-11,81263.23,27761.08,374
7,2,2022-10-18,80251.03,10220.11,105
8,2,2023-06-20,80835.24,17968.16,617
9,2,2024-01-18,81238.99,26247.6,269
10,2,2025-01-17,87231.22,19362.71,790
11,3,2020-03-23,21655.8,492.73,0
12,3,2021-03-26,21986.4,0.0,0
13,3,2022-01-16,23208.06,3114.4,0
14,3,2023-10-08,22160.93,721.36,0
15,3,2024-01-04,21052.88,306.54,0
16,3,2025-01-17,20515.26,2775.44,13
17,4,2020-03-09,88525.67,34369.24,63
18,4,2021-01-10,92468.17,52103.28,322
19,4,2022-01-28,99274.59,21740.49,271
20,4,2023-07-20,106850.65,41023.8,1000
21,4,2024-06-13,110964.22,40079.77,319
22,4,2025-01-09,111978.39,17167.38,781
23,5,2020-07-02,19298.95,3835.96,0
24,5,2021-10-03,18918.62,3241.09,0
25,5,2022-07-14,18870.54,7591.82,0
26,5,2023-10-04,19463.69,9061.94,0
27,5,2024-10-04,18792.99,5891.15,0
28,6,2023-01-21,11584.95,4240.9,40
29,6,2024-10-18,13030.58,10464.4,45
30,6,2025-01-18,14793.1,2560.56,0
31,7,2020-10-05,41044.88,0.0,230
32,7,2021-07-22,41051.42,1604.6,114
33,7,2022-07-01,39031.86,9553.5,81
34,7,2023-10-07,40079.13,12732.8,89
35,7,2024-01-09,40688.12,11206.4,122
36,7,2025-06-11,46135.56,16737.29,157
37,8,2021-01-22,66509.13,32154.92,435
38,8,2022-06-17,72335.54,32700.22,483
39,8,2023-01-03,76248.22,11203.73,365
40,8,2024-10-24,75784.24,22133.12,482
41,8,2025-10-03,83608.7,55884.1,235
42,9,2021-07-16,21591.24,19854.54,0
43,9,2022-06-15,22753.58,11580.79,0
44,9,2023-10-19,24995.64,4158.71,0
45,9,2024-03-28,24883.31,3969.09,0
46,9,2025-10-18,31059.26,7742.34,0
47,10,2023-01-16,10853.93,5632.1,0
48,10,2024-04-06,13245.08,8506.53,0
49,10,2025-01-11,13853.61,7010.48,0
50,11,2020-03-07,46067.84,0.0,336
51,11,2021-10-09,46723.41,18837.33,16
52,11,2022-06-15,49330.05,23475.03,66
53,11,2023-03-22,60639.35,30639.03,108
54,11,2024-06-07,74682.66,33673.88,41
55,11,2025-10-02,74682.73,7366.59,271
56,12,2021-01-24,70054.84,7069.19,294
57,12,2022-06-03,73544.87,24635.52,218
58,12,2023-10-17,82262.26,10845.44,381
59,12,2024-10-04,83583.78,10337.7,182
60,12,2025-01-14,82294.94,36832.33,479
61,13,2024-01-17,12750.2,3534.51,0
62,13,2025-07-17,13059.56,1420.96,0
63,14,2019-07-24,21050.24,7511.75,0
64,14,2020-10-08,21980.25,18043.93,0
65,14,2021-06-19,24581.98,6969.13,0
66,14,2022-06-02,25053.08,7501.0,0
67,14,2023-01-07,26503.97,25055.1,0
68,14,2024-10-09,29566.43,21252.08,0
69,14,2025-06-18,31635.0,17067.28,0
70,15,2022-03-16,11849.0,4495.5,0
71,15,2023-01-18,12194.39,5970.22,0
72,15,2024-04-21,13045.89,6144.42,0
73,15,2025-06-13,13584.19,2274.13,0
74,16,2023-01-16,20364.05,7199.32,0
75,16,2024-01-15,25351.33,6996.12,40
76,16,2025-03-25,26793.95,5972.62,0
77,17,2024-06-23,44017.17,11051.4,94
78,17,2025-10-27,45741.78,11974.67,113
79,18,2023-10-14,77448.92,29579.47,143
80,18,2024-06-03,80975.02,41058.64,111
81,18,2025-10-14,76926.27,18340.93,153
82,19,2022-10-06,11221.51,5168.87,0
83,19,2023-03-22,11581.61,5979.28,0
84,19,2024-10-27,11945.62,7303.9,0
85,19,2025-01-04,12261.09,6090.01,0
86,20,2021-10-08,86537.62,0.0,172
87,20,2022-03-08,84410.98,13705.05,722
88,20,2023-01-02,83651.57,4407.16,380
89,20,2024-01-07,79967.13,4676.49,159
90,20,2025-03-22,76064.2,10982.85,276
91,21,2023-03-13,49003.07,8662.09,154
92,21,2024-01-13,51964.78,5295.52,141
93,21,2025-01-28,52319.49,2779.95,118
94,22,2024-06-13,44295.73,1376.18,39
95,22,2025-01-19,44883.22,12128.37,261
96,23,2023-01-01,12041.19,10376.55,0
97,23,2024-10-24,12880.92,227.7,0
98,24,2019-01-01,12539.18,1137.52,0
99,24,2020-01-21,12258.39,3984.99,0
100,24,2021-01-17,12068.1,847.84,0
101,24,2022-04-20,11862.27,2110.76,0
102,24,2023-10-26,11898.83,4190.99,0
103,24,2024-04-18,13755.2,4255.1,0
104,24,2025-03-05,15163.44,2672.21,0
105,25,2022-10-23,13554.53,4592.42,0
106,25,2023-01-16,14357.55,4491.88,0
107,25,2024-06-25,14624.21,3343.05,0
108,25,2025-10-17,15718.67,5554.74,0
109,26,2020-06-17,11729.58,4732.97,0
110,26,2021-07-21,11461.11,1608.16,0
111,26,2022-01-07,11082.81,5118.42,0
112,26,2023-06-04,11679.8,3699.74,0
113,26,2024-01-06,11968.92,5955.99,0
114,26,2025-10-22,12552.14,2280.31,0
115,27,2020-10-05,22342.31,12063.42,0
116,27,2021-07-13,23015.5,12045.95,0
117,27,2022-06-11,21864.73,10872.39,0
118,27,2023-01-24,23407.58,4075.48,0
119,27,2024-06-19,29748.63,22958.61,0
120,27,2025-07-22,36991.11,27304.91,0
121,28,2019-01-27,10733.89,3208.96,0
122,28,2020-01-15,12196.3,1377.2,0
123,28,2021-06-21,12613.58,4827.95,0
124,28,2022-10-02,16145.38,8379.51,0
