survey_id,employee_id,survey_date,work_life_balance_score,manager_satisfaction_score,environment_satisfaction
1,1,2022-06-16,3.0,4.0,3.0
2,1,2023-05-16,1.0,,3.0
3,1,2024-07-04,4.0,,4.0
4,1,2025-06-03,3.0,2.0,3.0
5,2,2020-06-28,2.0,3.0,3.0
6,2,2021-05-03,2.0,3.0,2.0
7,2,2022-05-10,1.0,4.0,2.0
8,2,2023-06-01,1.0,3.0,2.0
9,2,2024-06-26,2.0,4.0,4.0
10,2,2025-06-22,2.0,3.0,3.0
11,3,2020-04-29,4.0,1.0,4.0
12,3,2021-05-26,3.0,1.0,3.0
13,3,2022-06-30,5.0,,
14,3,2023-05-17,4.0,1.0,2.0
15,3,2024-07-05,3.0,1.0,3.0
16,3,2025-04-23,1.0,1.0,4.0
17,4,2020-05-08,3.0,3.0,4.0
18,4,2021-06-21,4.0,,2.0
19,4,2022-06-17,2.0,3.0,2.0
20,4,2023-05-01,2.0,4.0,
21,4,2024-05-08,3.0,4.0,2.0
22,4,2025-06-10,2.0,5.0,4.0
23,5,2020-05-06,1.0,2.0,4.0
24,5,2021-06-09,1.0,3.0,2.0
25,5,2022-06-16,3.0,2.0,2.0
26,5,2023-05-24,2.0,2.0,1.0
27,5,2024-06-22,2.0,3.0,4.0
28,6,2023-05-24,3.0,4.0,4.0
29,6,2024-05-08,3.0,,2.0
30,6,2025-06-21,2.0,5.0,3.0
31,7,2020-06-24,3.0,1.0,2.0
32,7,2021-06-24,3.0,2.0,2.0
33,7,2022-05-06,,2.0,2.0
34,7,2023-05-20,3.0,2.0,3.0
35,7,2024-07-03,2.0,2.0,4.0
36,7,2025-06-25,3.0,3.0,1.0
37,8,2021-04-24,4.0,,4.0
38,8,2022-05-31,3.0,2.0,3.0
39,8,2023-06-22,2.0,3.0,3.0
40,8,2024-05-15,,3.0,4.0
41,8,2025-06-23,1.0,2.0,2.0
42,9,2021-05-12,2.0,5.0,3.0
43,9,2022-05-24,3.0,5.0,3.0
44,9,2023-05-22,4.0,3.0,3.0
45,9,2024-06-13,1.0,5.0,3.0
46,9,2025-06-06,1.0,4.0,2.0
47,10,2023-05-05,4.0,,4.0
48,10,2024-05-24,3.0,4.0,2.0
49,10,2025-05-07,4.0,3.0,3.0
50,11,2020-05-06,1.0,1.0,2.0
51,11,2021-04-26,3.0,1.0,3.0
52,11,2022-06-05,3.0,2.0,1.0
53,11,2023-05-17,4.0,2.0,
54,11,2024-05-16,2.0,2.0,3.0
55,11,2025-05-07,,1.0,
56,12,2021-06-21,1.0,3.0,1.0
57,12,2022-05-20,1.0,4.0,2.0
58,12,2023-05-01,2.0,,2.0
59,12,2024-05-05,2.0,,4.0
60,12,2025-06-04,1.0,3.0,3.0
61,13,2024-07-01,3.0,4.0,4.0
62,13,2025-06-12,2.0,3.0,3.0
63,14,2019-06-20,4.0,4.0,2.0
64,14,2020-06-07,3.0,3.0,2.0
65,14,2021-06-22,3.0,5.0,2.0
66,14,2022-06-24,3.0,4.0,3.0
67,14,2023-06-26,2.0,5.0,5.0
68,14,2024-06-19,2.0,4.0,5.0
69,14,2025-04-26,3.0,5.0,2.0
70,15,2022-07-06,2.0,,3.0
71,15,2023-06-26,,4.0,4.0
72,15,2024-05-01,4.0,3.0,3.0
73,15,2025-04-23,2.0,4.0,2.0
74,16,2023-07-03,3.0,2.0,4.0
75,16,2024-06-24,2.0,1.0,2.0
76,16,2025-05-23,3.0,1.0,4.0
77,17,2024-07-03,1.0,4.0,3.0
78,17,2025-04-22,3.0,5.0,2.0
79,18,2023-05-25,5.0,1.0,3.0
